slopetab_nopic_clicks,slopelist_nopic_clicks,slopeparagraph_nopic_clicks,slopetab_pic_clicks,slopelist_pic_clicks,slopeparagraph_pic_clicks,Concatenated_Variables,y_values
0,0,0,1,1,1,000111,7.01
0,0,1,0,1,1,001011,5.099
0,0,1,1,0,1,001101,6.149
0,0,1,1,1,0,001110,6.138999999999999
0,1,0,0,1,1,010011,5.41
0,1,0,1,0,1,010101,6.46
0,1,0,1,1,0,010110,6.449999999999999
0,1,1,0,0,1,011001,4.5489999999999995
0,1,1,0,1,0,011010,4.539
0,1,1,1,0,0,011100,5.5889999999999995
1,0,0,0,1,1,100011,6.31
1,0,0,1,0,1,100101,7.36
1,0,0,1,1,0,100110,7.35
1,0,1,0,0,1,101001,5.449
1,0,1,0,1,0,101010,5.438999999999999
1,0,1,1,0,0,101100,6.488999999999999
1,1,0,0,0,1,110001,5.76
1,1,0,0,1,0,110010,5.749999999999999
1,1,0,1,0,0,110100,6.799999999999999
1,1,1,0,0,0,111000,4.888999999999999
